DiaChi,chieuDai,chieuNgang,dienTich,dienTichSuDung,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,dacDiem,huongCuaChinh,TinhTrangNoiThat,Gia
"Đường Nguyễn Kiệm, Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",7.5 m,3.5 m,25.2 m²,40 m²,"- 97,22 triệu/m²",1 phòng,1.0,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Tây Bắc,Hoàn thiện cơ bản,"2,45 tỷ"
"Đường Lê Quang Định, Phường 7, Quận Bình Thạnh, Tp Hồ Chí Minh",25 m,5.5 m,130 m²,200 m²,"- 94,62 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Hoàn thiện cơ bản,"12,3 tỷ"
"Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",14.4 m,4 m,57.7 m²,57.7 m²,"- 54,77 triệu/m²",4 phòng,4.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"3,16 tỷ"
"Đường Bùi Đình Tuý, Phường 24, Quận Bình Thạnh, Tp Hồ Chí Minh",16 m,4.5 m,72 m²,,"- 145,83 triệu/m²",4 phòng,4.0,,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,,"10,5 tỷ"
"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",,,28 m²,,"- 83,93 triệu/m²",3 phòng,2.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",Tây,Nội thất đầy đủ,"2,35 tỷ"
"92, Hiệp Nhất, Phường 4, Quận Tân Bình, Tp Hồ Chí Minh",16 m,6 m,86.46 m²,281.7 m²,"- 254,45 triệu/m²",6 phòng,3.0,6 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hiện trạng khác,,Nội thất đầy đủ,22 tỷ
"Đường Đồng Nai, Phường 15, Quận 10, Tp Hồ Chí Minh",12 m,4.4 m,52.8 m²,,"- 86,93 triệu/m²",4 phòng,2.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"4,59 tỷ"
"đường 3/2, Phường 10, Quận 10, Tp Hồ Chí Minh",,,102 m²,,"- 97,94 triệu/m²",1 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,"9,99 tỷ"
"Đường Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh",,,40 m²,40 m²,- 75 triệu/m²,2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,,3 tỷ
"Đường Năm Châu, Phường 11, Quận Tân Bình, Tp Hồ Chí Minh",,5 m,51 m²,,"- 101,96 triệu/m²",2 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"5,2 tỷ"
"Đường Làng Tăng Phú, Phường Tăng Nhơn Phú A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",,,50 m²,,"- 116,40 triệu/m²",2 phòng,,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"5,82 tỷ"
"Đường Tôn Đản, Phường 10, Quận 4, Tp Hồ Chí Minh",6.5 m,5 m,32.1 m²,90.3 m²,"- 135,51 triệu/m²",2 phòng,2.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất cao cấp,"4,35 tỷ"
"Đường Tân Mỹ, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh",14 m,5 m,70 m²,70 m²,- 100 triệu/m²,4 phòng,4.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,7 tỷ
"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",,,32 m²,,"- 56,25 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất cao cấp,"1,8 tỷ"
"Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",20 m,4 m,80 m²,,- 12 triệu/m²,3 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Nam,Nội thất đầy đủ,960 triệu
"Đường Hồng Bàng, Phường 6, Quận 6, Tp Hồ Chí Minh",,,12 m²,,"- 124,17 triệu/m²",3 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"1,49 tỷ"
"Đường Bàu Bàng, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh",,,80 m²,,"- 97,50 triệu/m²",5 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"7,8 tỷ"
"Đường Số 1, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",18.5 m,5 m,92.5 m²,,"- 145,95 triệu/m²",4 phòng,,5 phòng,Nhà phố liền kề,Đã có sổ,,,,"13,5 tỷ"
"Đường Thương Mại, Xã Trung Chánh, Huyện Hóc Môn, Tp Hồ Chí Minh",20 m,4.5 m,107 m²,107 m²,"- 60,75 triệu/m²",3 phòng,1.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",Đông Bắc,Nội thất cao cấp,"6,5 tỷ"
"Đường Hoàng Xuân Nhị, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh",15 m,6 m,95 m²,400 m²,"- 105,16 triệu/m²",6 phòng,5.0,,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất đầy đủ,"9,99 tỷ"
"Hẻm 51 Ngô Quyền, Phường 6, Quận 10, Tp Hồ Chí Minh",10 m,3.6 m,35 m²,,"- 148,57 triệu/m²",4 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất cao cấp,"5,2 tỷ"
"Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",14 m,5 m,70 m²,250 m²,"- 125,71 triệu/m²",4 phòng,4.0,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Đông Nam,,"8,8 tỷ"
"Đường Đinh Văn Ước, Xã Hưng Long, Huyện Bình Chánh, Tp Hồ Chí Minh",,,92 m²,,"- 8,70 triệu/m²",2 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Hoàn thiện cơ bản,800 triệu
Đường Quốc lộ 1,19 m,12 m,199 m²,450 m²,"- 44,72 triệu/m²",3 phòng,3.0,4 phòng,Nhà biệt thự,Đã có sổ,"Nhà nở hậu,Hẻm xe hơi",Đông,Nội thất cao cấp,"8,9 tỷ"
"Đường Nữ Dân Công, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh",4.5 m,4 m,18 m²,36 m²,"- 41,61 triệu/m²",1 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Giấy tờ viết tay,Hẻm xe hơi,,Hoàn thiện cơ bản,749 triệu
"177/57, Liên Khu 4-5, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13 m,8 m,104 m²,338.3 m²,"- 60,58 triệu/m²",nhiều hơn 10 phòng,4.0,Nhiều hơn 6 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Tây,Nội thất đầy đủ,"6,3 tỷ"
"Đường Số 1, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",25 m,15 m,371 m²,,"- 25,61 triệu/m²",3 phòng,,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Đất chưa chuyển thổ,,,"9,5 tỷ"
"Hẻm 17 Đường Số 16B, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",14 m,4 m,56 m²,112 m²,"- 85,71 triệu/m²",3 phòng,1.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Tây,Nội thất đầy đủ,"4,8 tỷ"
"Đường Nguyễn Lý, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",21 m,3.2 m,66.4 m²,109 m²,"- 103,92 triệu/m²",2 phòng,2.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Nhà nở hậu,,,"6,9 tỷ"
"Đường Nguyễn Thượng Hiền, Phường 5, Quận Bình Thạnh, Tp Hồ Chí Minh",15 m,4 m,58 m²,200 m²,"- 151,72 triệu/m²",4 phòng,5.0,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất cao cấp,"8,8 tỷ"
"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh",,,52 m²,,"- 107,69 triệu/m²",4 phòng,4.0,5 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất cao cấp,"5,6 tỷ"
"Đường Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh",15 m,4 m,60 m²,120 m²,- 130 triệu/m²,3 phòng,2.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất cao cấp,"7,8 tỷ"
"Đường Nguyên Hồng, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",24 m,17 m,400 m²,1000 m²,"- 112,50 triệu/m²",10 phòng,,6 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Tây Nam,,45 tỷ
"Đường Lê Văn Thọ, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",18 m,4 m,72 m²,260 m²,"- 104,17 triệu/m²",4 phòng,4.0,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"7,5 tỷ"
Đường Bình Long,50 m,22 m,1142 m²,1142 m²,- 81 triệu/m²,nhiều hơn 10 phòng,,,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"92,5 tỷ"
"Đường Nguyễn Thị Búp, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",15 m,4 m,60 m²,,"- 86,67 triệu/m²",4 phòng,3.0,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Nam,,"5,2 tỷ"
"233, Đường Ấp Chiến lược, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",30 m,4 m,147 m²,147 m²,"- 78,23 triệu/m²",2 phòng,1.0,1 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,"Nhà nở hậu,Nhà nát",Tây Bắc,Hoàn thiện cơ bản,"11,5 tỷ"
"Đường Chu Văn An, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh",15 m,4 m,60 m²,,"- 116,67 triệu/m²",2 phòng,,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Bàn giao thô,7 tỷ
"Đường Lạc Long Quân, Phường 3, Quận 11, Tp Hồ Chí Minh",28 m,9.6 m,265 m²,,"- 86,79 triệu/m²",3 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,23 tỷ
"Đường An Phú Tây - Hưng Long, Xã An Phú Tây, Huyện Bình Chánh, Tp Hồ Chí Minh",20 m,5 m,100 m²,100 m²,"- 8,80 triệu/m²",3 phòng,,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hiện trạng khác,,Nội thất đầy đủ,880 triệu
"Đường Đường 102, Phường Tăng Nhơn Phú A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",,,54.4 m²,114 m²,"- 88,24 triệu/m²",2 phòng,,1 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,Tây Nam,,"4,8 tỷ"
"Đường Hiệp Thành 17 Nối Dài, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",11 m,4 m,41.6 m²,51.2 m²,"- 75,72 triệu/m²",2 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",Bắc,Nội thất cao cấp,"3,15 tỷ"
"165/34, Đường 3 Tháng 2, Phường 11, Quận 10, Tp Hồ Chí Minh",10.5 m,3.5 m,38 m²,114 m²,"- 184,21 triệu/m²",2 phòng,3.0,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Đông Bắc,Hoàn thiện cơ bản,7 tỷ
,,,,,,,,,,,,,,
"hương lộ 11, Xã Hưng Long, Huyện Bình Chánh, Tp Hồ Chí Minh",20 m,5 m,100 m²,100 m²,- 14 triệu/m²,3 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Hoàn thiện cơ bản,"1,4 tỷ"
"Đường Võ Thị Nhờ, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",16.2 m,4.2 m,65 m²,,"- 104,62 triệu/m²",3 phòng,3.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất cao cấp,"6,8 tỷ"
"Đường Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh",9 m,4 m,36 m²,36 m²,"- 113,89 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Hoàn thiện cơ bản,"4,1 tỷ"
"Đường Nguyễn Xiển, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",20 m,8 m,155 m²,155 m²,"- 63,87 triệu/m²",2 phòng,2.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"9,9 tỷ"
"Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",,8 m,80 m²,,- 65 triệu/m²,4 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,"5,2 tỷ"
"Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",,,100 m²,,- 86 triệu/m²,4 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"8,6 tỷ"
"Đường Tên Lửa, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",10 m,4 m,40 m²,80 m²,"- 58,75 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Tây,Nội thất đầy đủ,"2,35 tỷ"
"Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",10 m,5.2 m,50 m²,,- 109 triệu/m²,3 phòng,4.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"5,45 tỷ"
"Đường số 2A, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",12 m,4 m,48 m²,113 m²,"- 97,50 triệu/m²",3 phòng,3.0,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Nội thất đầy đủ,"4,68 tỷ"
"28, Hẻm 327 Lãnh Binh Thăng, Phường 8, Quận 11, Tp Hồ Chí Minh",5.5 m,7 m,37 m²,120 m²,"- 167,57 triệu/m²",2 phòng,4.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Hoàn thiện cơ bản,"6,2 tỷ"
"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",17 m,4.2 m,70 m²,133 m²,"- 164,29 triệu/m²",5 phòng,3.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,,Tây Nam,Hoàn thiện cơ bản,"11,5 tỷ"
"Đường Thành Thái, Phường 14, Quận 10, Tp Hồ Chí Minh",15 m,4.5 m,68 m²,68 m²,"- 62,50 triệu/m²",4 phòng,3.0,5 phòng,Nhà phố liền kề,Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"4,25 tỷ"
"Đường Tăng Bạt Hổ, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",,,56 m²,,"- 73,57 triệu/m²",4 phòng,3.0,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"4,12 tỷ"
"Đường Đỗ Thừa Luông, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",12.5 m,4 m,50 m²,,- 130 triệu/m²,4 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,,"6,5 tỷ"
"Đường Thái Thị Giữ, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh",18 m,4.5 m,78 m²,150 m²,"- 79,49 triệu/m²",3 phòng,,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"6,2 tỷ"
"3/39a, Đường Bùi Thị Lùng, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh",,,1600 m²,,"- 37,50 triệu/m²",10 phòng,,,"Nhà mặt phố, mặt tiền",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Hoàn thiện cơ bản,60 tỷ
"Đường Đào Tông Nguyên, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh",14 m,4.5 m,63 m²,,"- 99,84 triệu/m²",4 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"6,29 tỷ"
"Đường Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",18.5 m,5 m,95 m²,180 m²,"- 57,89 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"5,5 tỷ"
"Đường Nguyễn Thị Kiểu, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",14 m,4.5 m,62 m²,172 m²,"- 87,90 triệu/m²",4 phòng,3.0,6 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Tây Bắc,Nội thất đầy đủ,"5,45 tỷ"
"Đường số 36, Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",12 m,3.9 m,65.5 m²,71 m²,"- 65,34 triệu/m²",2 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Hoàn thiện cơ bản,"4,28 tỷ"
"Số 1, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",9.5 m,4.5 m,41 m²,41 m²,"- 118,29 triệu/m²",3 phòng,,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Tây,Nội thất đầy đủ,"4,85 tỷ"
"Đường Hồ Đắc Di, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",20 m,4 m,80 m²,160 m²,"- 81,25 triệu/m²",2 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"6,5 tỷ"
"Đường Phú Thọ Hoà, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",14 m,4.2 m,54 m²,,"- 116,67 triệu/m²",4 phòng,4.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất cao cấp,"6,3 tỷ"
"713/2, Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",16 m,4.5 m,70 m²,70 m²,- 150 triệu/m²,1 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Bắc,,"10,5 tỷ"
"Đường Lũy Bán Bích, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",,,25 m²,,- 66 triệu/m²,3 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,"1,65 tỷ"
"Đường Trần Văn Đang, Phường 9, Quận 3, Tp Hồ Chí Minh",6 m,3 m,18 m²,55 m²,"- 133,33 triệu/m²",2 phòng,3.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Tây Bắc,Hoàn thiện cơ bản,"2,4 tỷ"
"Đường số 10, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",12 m,5 m,60 m²,150 m²,"- 83,33 triệu/m²",3 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,5 tỷ
"Cầu Chợ Đệm, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh",,5 m,53.9 m²,,"- 12,43 triệu/m²",2 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Hoàn thiện cơ bản,670 triệu
"Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",13.5 m,4.5 m,60 m²,,"- 123,33 triệu/m²",4 phòng,,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"7,4 tỷ"
"ấp 2, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",16 m,5 m,80 m²,,"- 28,12 triệu/m²",3 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Đông,Nội thất đầy đủ,"2,25 tỷ"
"Đường Nguyễn Hồng Đào, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh",,,36 m²,,"- 110,56 triệu/m²",3 phòng,,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"3,98 tỷ"
"Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",13 m,4 m,52 m²,104 m²,"- 66,92 triệu/m²",2 phòng,,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,Đông Bắc,Nội thất cao cấp,"3,48 tỷ"
"Đường Quốc lộ 13, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",11 m,5 m,53 m²,,"- 119,81 triệu/m²",4 phòng,3.0,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"6,35 tỷ"
"Đường Ngô Nhân Tịnh, Phường 1, Quận 6, Tp Hồ Chí Minh",13.5 m,3.7 m,48.6 m²,98 m²,"- 133,75 triệu/m²",3 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Tây,,"6,5 tỷ"
"Thạnh Xuân 56, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",12 m,4 m,48 m²,68 m²,"- 58,75 triệu/m²",3 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Tây Bắc,Nội thất đầy đủ,"2,82 tỷ"
"Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",5 m,4 m,20 m²,40 m²,"- 29,50 triệu/m²",1 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,590 triệu
"72/42/10, Đường Số 4, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",9.8 m,3.8 m,38 m²,,"- 89,47 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà chưa hoàn công,Nam,Hoàn thiện cơ bản,"3,4 tỷ"
"Làm Văn Bènh, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",7 m,4 m,21 m²,42 m²,"- 75,24 triệu/m²",1 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,Hẻm xe hơi,Nam,,"1,58 tỷ"
"Đường Kha Vạn Cân, Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",13 m,4 m,50 m²,,- 102 triệu/m²,4 phòng,,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"5,1 tỷ"
"Phan Văn Trị, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh",20 m,10 m,200 m²,800 m²,- 240 triệu/m²,5 phòng,,6 phòng,Nhà biệt thự,Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,,48 tỷ
"Đường Chu Văn An, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",18 m,4 m,72 m²,,"- 191,67 triệu/m²",7 phòng,4.0,Nhiều hơn 6 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,"13,8 tỷ"
"Đường Tỉnh lộ 10, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",10 m,4 m,40 m²,80 m²,"- 91,25 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Bắc,,"3,65 tỷ"
"Đường Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",25 m,4.3 m,108 m²,168 m²,"- 81,39 triệu/m²",5 phòng,,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"8,79 tỷ"
"Đường Tỉnh lộ 10, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",10 m,4 m,40 m²,80 m²,"- 91,25 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Bắc,,"3,65 tỷ"
"Đường Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",25 m,4.3 m,108 m²,168 m²,"- 81,39 triệu/m²",5 phòng,,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"8,79 tỷ"
"Đường An Bình, Phường 6, Quận 5, Tp Hồ Chí Minh",15 m,4.25 m,63.7 m²,,"- 80,85 triệu/m²",5 phòng,3.0,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất đầy đủ,"5,15 tỷ"
"Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",20 m,4 m,80 m²,,"- 128,75 triệu/m²",6 phòng,,6 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Nội thất cao cấp,"10,3 tỷ"
"Đường Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",15 m,4 m,58 m²,78 m²,"- 58,28 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"3,38 tỷ"
"Đường Lê Thị Ngay, Xã Vĩnh Lộc A, Huyện Bình Chánh, Tp Hồ Chí Minh",12 m,4 m,48 m²,80 m²,"- 31,25 triệu/m²",2 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"1,5 tỷ"
"Đường Trần Đại Nghĩa, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh",18 m,5 m,90 m²,,"- 8,89 triệu/m²",2 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Đông Nam,Hoàn thiện cơ bản,800 triệu
"Đường Ấp 2, Xã An Phú Tây, Huyện Bình Chánh, Tp Hồ Chí Minh",,,83 m²,,"- 9,22 triệu/m²",3 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,765 triệu
